run_id,model,mode,provider,prompt,prompt_id,quantization,max_new_tokens,load_time_s,ttft_s,total_runtime_s,tokens_generated,generation_throughput,peak_ram_mb,peak_vram_mb,status,error,timestamp,tier
run_7f46424fb3e0,Qwen/Qwen2.5-0.5B-Instruct,gpu_provider,transformers,What is the capital of the United States?,,none,16,0.3286,0.5036,4.095,16,25.63,1595.64,965.88,success,,2026-07-06T10:55:02.240345+00:00,small
run_7f4642659880,Qwen/Qwen2.5-0.5B-Instruct,gpu_provider,transformers,Explain quantum entanglement in one paragraph.,,none,16,0.1011,0.0106,2.6477,16,125.49,1633.48,966.09,success,,2026-07-06T10:55:05.361014+00:00,small
run_7f4642659880,Qwen/Qwen2.5-0.5B-Instruct,gpu_provider,transformers,Write a Python function that sorts a list.,,none,16,0.1018,0.0106,3.5337,16,125.13,1637.73,966.07,success,,2026-07-06T10:55:09.491137+00:00,small
run_7f4642659880,Qwen/Qwen2.5-0.5B-Instruct,cpu_baseline,transformers,What is the capital of the United States?,,none,16,3.1685,0.0785,3.6998,16,30.12,1653.65,8.12,success,,2026-07-06T10:55:13.613832+00:00,small
run_7f45ee59d220,Qwen/Qwen2.5-0.5B-Instruct,cpu_baseline,transformers,Explain quantum entanglement in one paragraph.,,none,16,3.0442,0.0396,3.5274,16,33.11,1666.8,8.12,success,,2026-07-06T10:55:17.733779+00:00,small
run_7f45ee59d220,Qwen/Qwen2.5-0.5B-Instruct,cpu_baseline,transformers,Write a Python function that sorts a list.,,none,16,2.9593,0.0385,3.4416,16,33.17,2599.45,8.12,success,,2026-07-06T10:55:21.855408+00:00,small
run_7f462f4e6990,Qwen/Qwen2.5-0.5B-Instruct,airllm,airllm,What is the capital of the United States?,,none,16,1.8915,0.0,47.5687,16,0.35,2234.29,299.92,success,,2026-07-06T10:56:10.103478+00:00,small
run_7f4642835100,Qwen/Qwen2.5-0.5B-Instruct,airllm,airllm,Explain quantum entanglement in one paragraph.,,none,16,0.8667,0.0,46.2368,16,0.35,2292.37,557.95,success,,2026-07-06T10:56:56.446917+00:00,small
run_7f462f4e6990,Qwen/Qwen2.5-0.5B-Instruct,airllm,airllm,Write a Python function that sorts a list.,,none,16,0.8323,0.0,46.5744,16,0.35,2223.68,557.94,success,,2026-07-06T10:57:44.020542+00:00,small
run_7f45ee59d220,Qwen/Qwen2.5-3B-Instruct,gpu_provider,transformers,What is the capital of the United States?,,none,16,2.2374,0.0535,5.7193,16,64.18,4854.33,6270.74,success,,2026-07-06T10:57:50.046332+00:00,medium
run_7f462f4e6990,Qwen/Qwen2.5-3B-Instruct,gpu_provider,transformers,Explain quantum entanglement in one paragraph.,,none,16,0.4806,0.0143,3.146,16,77.45,2233.43,6010.78,success,,2026-07-06T10:57:54.324563+00:00,medium
